battle,timestamp,name,user,team,action,tileId,attacker,defender,ipUsed,bipUsed,ipApplied,directPlay
125,1757964330,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,15000,0,32250,true
125,1757964392,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10080,0,19656,true
125,1757964452,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10080,0,19656,true
125,1757964556,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,15300,0,32895,true
125,1757964654,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,15000,0,30300,true
125,1757964664,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,45300,4530,99162,false
125,1757964666,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,0,4530,9015,false
125,1757964753,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,15300,0,29988,true
125,1757964819,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,15900,0,30687,true
125,1757964843,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,31200,3120,61776,false
125,1757964846,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,0,3120,5616,false
125,1757964931,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15600,0,27612,true
125,1757964945,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15600,1560,30373,false
125,1757964965,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,0,1560,2714,false
125,1757965335,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10080,0,14717,true
125,1757965577,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15600,0,22464,true
125,1757965593,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15600,1560,24710,false
125,1757965828,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15600,0,20592,true
125,1757965829,Moose,4d86dd5068bd3c7849a95863f5b527dd,co,ATTACK,webified-87,ci,cr,0,99000,120780,false
125,1757965866,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,7920,0,9425,true
125,1757965994,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15900,0,19557,true
125,1757966001,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,9720,0,10984,true
125,1757966009,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,31500,68500,123000,false
125,1757966019,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,0,74360,91463,false
125,1757966104,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15300,0,17901,true
125,1757966239,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15600,0,17316,true
125,1757966252,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,30900,3090,37729,false
